Review,Original_Review
wonder stay hotel got room upgrad room spaciou everyth need fridg kettl breakfast dinner buffet tasti staff hotel speak english even chines well free access gym swim pool gym swim pool big well furnish minut walk train station tourist attract,"I have a wonderful stay in this hotel. I got room upgrade, the room is spacious, and has everything I need, such as fridge and kettle. The breakfast and dinner buffets are tasty. The staff in this hotel can speak English and even Chinese very well.
Free access to the gym and swimming pool, the gym and swimming pool are big and well furnished.
About 20 minutes walk to the train station, and all the tourist attractions."
poor qualiti hotel towel polici ridicul guest hotel told allow gym towel yet ask use one rude recept team check bring wet towel back recept room hot uncomfort bed lot wast space overcharg nearli euro refus give back claim back bank,"Poor quality hotel
- Their towel policy is just ridiculous. If you are a guest in the hotel, you are told you are not allowed a gym towel, yet they ask you to use one when you are in there? Very rude reception team about it. Then, when you check out, you have to bring the wet towel back down to reception.
- Room is very hot, uncomfortable bed and lots of wasted space.
- They then overcharged me nearly 400 euro and refusing to give it back, so I’ve had to claim it back through the bank."
great experi around help staff good clean spaciou room spa great use whenev possibl relax,"A great experience all around, helpful staff, good, clean, spacious rooms.
The SPA is great and we use it whenever possible to relax."
partner recent enjoy delight night stay hotel axi viana castelo us blend conveni tranquil key hotel nail locat quick minut drive citi center modern ambianc hotel clean line straightforward furnish creat practic comfort set busi travel reliabl effici staff made entir experi seamless check check room provid seren space essenti amen charm citi view ideal rest night sleep unexpect highlight well equip gym perfect maintain fit routin togeth summari hotel axi excel choic peopl seek blend tranquil modern comfort whether viana castelo busi leisur hotel cater offer practic comfort escap,"My partner and I recently enjoyed a delightful 3-night stay at Hotel Axis in Viana do Castelo. For us, a blend of convenience and tranquility was key, and this hotel nailed it with its location – just a quick 5-minute drive from the city center.
The modern ambiance of the hotel, with its clean lines and straightforward furnishings, created a practical and comfortable setting. As a business traveler, the reliable and efficient staff made the entire experience seamless, from check-in to check-out.
Our room provided a serene space with essential amenities and a charming city view, ideal for a restful night's sleep. The unexpected highlight was the well-equipped gym, perfect for maintaining our fitness routine together.
In summary, Hotel Axis is an excellent choice for people seeking a blend of tranquility and modern comfort. Whether you're in Viana do Castelo for business or leisure, this hotel caters to both, offering a practical and comfortable escape."
hotel uniqu architectur design locat near restaur supermarket use sinc let know hand restaur fulli book due confer host regard room big simpl howev found dirti drink glass floor felt like put much effort clean regard indoor pool locat insid hotel go gym locker room order get littl place place stuff sinc chair,"The hotel had a unique architecture design, and is located near restaurants and supermarkets, which is useful since they don't let you know before hand that they have the restaurant fully booked due to conferences being hosted there.
Regarding the room, it was big and simple, however I found some dirtiness in the drinking glasses and floor, which felt like they didn't put much effort cleaning.
Regarding the indoor pool, it was located inside the hotel, but we had to go through the gym and the locker rooms in order to get there, and had little places to place our stuff, since they only had 5 chairs."
rate hotel low know accommod axi hotel area room matter good room mattress feel everi spring stick rate high servic slept busi trip gym start without chanc get bit earlier lead servic book unus standort cours play golf great otherwis noth around one restaur save walk distanc,"I am rating this Hotel so low as I know other more accommodating Axis hotels in the area.
Room: no matter how good the room is, if you have a mattress that you can feel every spring sticking out the rating cannot be high.
Service: I slept there during a business trip and the ours of the gym are starting at 8 am without a chance to get in a bit earlier. So this leads to the service I booked for to be unusable
Standort: of course to play golf it’s great but otherwise there is nothing around and only one restaurant in save walking distance"
first km camino today great walk unfortun last km nightmar walk along busi road howev reach accommod tired disappear luxuri room fabul staff help ate outsid ground restaur food excel staff entertain help make even enjoy would definit recommend properti,"The first 18kms of our Camino today were a great walk unfortunately the last 6kms were a nightmare as we had to walk along a very busy road!
However on reaching this accommodation all our tiredness disappeared.  It was luxury!
The rooms were fabulous and the staff very helpful.
We ate outside in the grounds of the restaurant. The food was excellent:  the staff were entertaining and helped make our evening so enjoyable.
Would definitely recommend this property."
axi golf pont de lima great place enjoy challeng forest cours locat oldest villag portug old world charm great food pleasant staff natur surround,"Axis golf ⛳️ in ponte de Lima is a great place to enjoy a challenging forest 🌳 course located in the oldest village of Portugal 🇵🇹 that old world charm 🏌🏼‍♂️great food, pleasant staff & natural surroundings"
hotel disappoint swim pool spa gym run third parti insid hotel everyon use hotel gest swim class pool lane reserv hotel gest pool teacher scream besid us give class kid imposs relax also gym face swim pool basic bunch peopl work stare us uncomfort room ok noth room amen water also balconi room hotel bit outdat carpet dirti overal good valu money would recommend,"The hotel was very disappointing for me. The swimming pool, spa and gym are runned by a third party, they are inside of the hotel but everyone can use it, is not for hotel gests only. There are swimming classes in the pool and only 2 lanes are reserved for hotel gests. While we were in the pool there was a teacher screaming beside us while she was giving a class to the kids, it's impossible to relax. Also the gym is facing the swimming pool so basically we had a bunch of people working out and staring at us. It's very uncomfortable . The room is ok, but there is nothing in the room, no amenities or water. Also there was no balcony in out room. The hotel is a bit outdated, the carpet were dirty. Overall is not a good value for money and I would not recommend it."
hotel nice clean comfort spa rather fit club pool access hotel guest staff friendli,"The hotel is nice clean and comfortable, but there's no spa rather than a fitness club with pool accessible for hotel guests. Staff friendly"
