Review,Classification,Original_Review,Sentiment,Binary_Sentiment
I wonderful stay hotel I got room upgrade room spacious everything I need fridge kettle The breakfast dinner buffets tasty The staff hotel speak English even Chinese well Free access gym swimming pool gym swimming pool big well furnished About minutes walk train station tourist attractions,5,"I have a wonderful stay in this hotel. I got room upgrade, the room is spacious, and has everything I need, such as fridge and kettle. The breakfast and dinner buffets are tasty. The staff in this hotel can speak English and even Chinese very well.
Free access to the gym and swimming pool, the gym and swimming pool are big and well furnished.
About 20 minutes walk to the train station, and all the tourist attractions.",POSITIVE,1
Poor quality hotel Their towel policy ridiculous If guest hotel told allowed gym towel yet ask use one Very rude reception team Then check bring wet towel back reception Room hot uncomfortable bed lots wasted space They overcharged nearly euro refusing give back I claim back bank,1,"Poor quality hotel
- Their towel policy is just ridiculous. If you are a guest in the hotel, you are told you are not allowed a gym towel, yet they ask you to use one when you are in there? Very rude reception team about it. Then, when you check out, you have to bring the wet towel back down to reception.
- Room is very hot, uncomfortable bed and lots of wasted space.
- They then overcharged me nearly 400 euro and refusing to give it back, so I’ve had to claim it back through the bank.",NEGATIVE,0
A great experience around helpful staff good clean spacious rooms The SPA great use whenever possible relax,5,"A great experience all around, helpful staff, good, clean, spacious rooms.
The SPA is great and we use it whenever possible to relax.",POSITIVE,1
My partner I recently enjoyed delightful night stay Hotel Axis Viana Castelo For us blend convenience tranquility key hotel nailed location quick minute drive city center The modern ambiance hotel clean lines straightforward furnishings created practical comfortable setting As business traveler reliable efficient staff made entire experience seamless check check Our room provided serene space essential amenities charming city view ideal restful night sleep The unexpected highlight well equipped gym perfect maintaining fitness routine together In summary Hotel Axis excellent choice people seeking blend tranquility modern comfort Whether Viana Castelo business leisure hotel caters offering practical comfortable escape,5,"My partner and I recently enjoyed a delightful 3-night stay at Hotel Axis in Viana do Castelo. For us, a blend of convenience and tranquility was key, and this hotel nailed it with its location – just a quick 5-minute drive from the city center.
The modern ambiance of the hotel, with its clean lines and straightforward furnishings, created a practical and comfortable setting. As a business traveler, the reliable and efficient staff made the entire experience seamless, from check-in to check-out.
Our room provided a serene space with essential amenities and a charming city view, ideal for a restful night's sleep. The unexpected highlight was the well-equipped gym, perfect for maintaining our fitness routine together.
In summary, Hotel Axis is an excellent choice for people seeking a blend of tranquility and modern comfort. Whether you're in Viana do Castelo for business or leisure, this hotel caters to both, offering a practical and comfortable escape.",POSITIVE,1
The hotel unique architecture design located near restaurants supermarkets useful since let know hand restaurant fully booked due conferences hosted Regarding room big simple however I found dirtiness drinking glasses floor felt like put much effort cleaning Regarding indoor pool located inside hotel go gym locker rooms order get little places place stuff since chairs,3,"The hotel had a unique architecture design, and is located near restaurants and supermarkets, which is useful since they don't let you know before hand that they have the restaurant fully booked due to conferences being hosted there.
Regarding the room, it was big and simple, however I found some dirtiness in the drinking glasses and floor, which felt like they didn't put much effort cleaning.
Regarding the indoor pool, it was located inside the hotel, but we had to go through the gym and the locker rooms in order to get there, and had little places to place our stuff, since they only had 5 chairs.",NEGATIVE,0
I rating Hotel low I know accommodating Axis hotels area Room matter good room mattress feel every spring sticking rating high Service I slept business trip gym starting without chance get bit earlier So leads service I booked unusable Standort course play golf great otherwise nothing around one restaurant save walking distance,2,"I am rating this Hotel so low as I know other more accommodating Axis hotels in the area.
Room: no matter how good the room is, if you have a mattress that you can feel every spring sticking out the rating cannot be high.
Service: I slept there during a business trip and the ours of the gym are starting at 8 am without a chance to get in a bit earlier. So this leads to the service I booked for to be unusable
Standort: of course to play golf it’s great but otherwise there is nothing around and only one restaurant in save walking distance",NEGATIVE,0
The first kms Camino today great walk unfortunately last kms nightmare walk along busy road However reaching accommodation tiredness disappeared It luxury The rooms fabulous staff helpful We ate outside grounds restaurant The food excellent staff entertaining helped make evening enjoyable Would definitely recommend property,5,"The first 18kms of our Camino today were a great walk unfortunately the last 6kms were a nightmare as we had to walk along a very busy road!
However on reaching this accommodation all our tiredness disappeared.  It was luxury!
The rooms were fabulous and the staff very helpful.
We ate outside in the grounds of the restaurant. The food was excellent:  the staff were entertaining and helped make our evening so enjoyable.
Would definitely recommend this property.",POSITIVE,1
Axis golf ponte de Lima great place enjoy challenging forest course located oldest village Portugal old world charm great food pleasant staff natural surroundings,5,"Axis golf ⛳️ in ponte de Lima is a great place to enjoy a challenging forest 🌳 course located in the oldest village of Portugal 🇵🇹 that old world charm 🏌🏼‍♂️great food, pleasant staff & natural surroundings",POSITIVE,1
The hotel disappointing The swimming pool spa gym runned third party inside hotel everyone use hotel gests There swimming classes pool lanes reserved hotel gests While pool teacher screaming beside us giving class kids impossible relax Also gym facing swimming pool basically bunch people working staring us It uncomfortable The room ok nothing room amenities water Also balcony room The hotel bit outdated carpet dirty Overall good value money I would recommend,1,"The hotel was very disappointing for me. The swimming pool, spa and gym are runned by a third party, they are inside of the hotel but everyone can use it, is not for hotel gests only. There are swimming classes in the pool and only 2 lanes are reserved for hotel gests. While we were in the pool there was a teacher screaming beside us while she was giving a class to the kids, it's impossible to relax. Also the gym is facing the swimming pool so basically we had a bunch of people working out and staring at us. It's very uncomfortable . The room is ok, but there is nothing in the room, no amenities or water. Also there was no balcony in out room. The hotel is a bit outdated, the carpet were dirty. Overall is not a good value for money and I would not recommend it.",NEGATIVE,0
The hotel nice clean comfortable spa rather fitness club pool accessible hotel guests Staff friendly,3,"The hotel is nice clean and comfortable, but there's no spa rather than a fitness club with pool accessible for hotel guests. Staff friendly",POSITIVE,1
